state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,Alameda County,Assessor,Ron Thomsen,,,http://www.acgov.org/assessor/,,,
CA,Alameda County,Auditor/Controller,Steve Manning,,,http://www.acgov.org/auditor/,,,
CA,Alameda County Council District 1,Board of Supervisors 1st District,Scott Haggerty,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6691,http://www.acgov.org/board/district1/,,,
CA,Alameda County Council District 2,Board of Supervisors 2nd District,Richard Valle,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6692,http://www.acgov.org/board/district2/,,,
CA,Alameda County Council District 3,Board of Supervisors 3rd District,Wilma Chan,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6693,http://www.acgov.org/board/district3/,,,
CA,Alameda County Council District 4,Board of Supervisors 4th District,Nate Miley,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6694,http://www.acgov.org/board/district4/,,,
CA,Alameda County Council District 5,Board of Supervisors 5th District,Keith Carson,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6695,http://www.acgov.org/board/district5/,,,
CA,Alameda County,District Attorney,Nancy E. O'Malley,,,http://www.acgov.org/cao/,,,
CA,Alameda County,Sheriff/Coroner,Gregory J. Ahern,,,http://www.acgov.orghttp://www.alcoda.org/,,,
CA,Alameda County,Superintendent of Schools,Sheila Jordan,,,http://www.acgov.orghttp://www.alamedacountysheriff.org/,,,
CA,Alameda County,Treasurer/Tax Collector,Donald R. White,,,http://www.acgov.org/treasurer/,,,
