state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
TX,Bexar County,County Clerk,"Gerard C. ""Gerry"" Rickhoff",,,https://gov.propertyinfo.com/tx-bexar/,,,
TX,Bexar County,Criminal District Attorney,"Criminal District Attorney Nicholas ""Nico"" LaHood",,,http://www.bexar.org/da/index.html,,,
TX,Bexar County,District Clerk,Donna Kay McKinney,,,http://www.bexar.org/DC,,,
TX,Bexar County,Sheriff,Susan L. Pamerleau,,,http://www.bexar.org/sheriff,,,
TX,Bexar County,Tax Assessor-Collector,Albert Uresti,,,http://www.bexar.org/tax,,,
TX,Bexar County,County Judge,Nelson W. Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/1127/County-Judge,,,
TX,Bexar County Council District 1,County Commissioner Precinct 1,Sergio 'Chico' Rodriguez,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/148/Precinct-1,,,
TX,Bexar County Council District 2,County Commissioner Precinct 2,Paul Elizondo,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/149/Precinct-2,,,
TX,Bexar County Council District 3,County Commissioner Precinct 3,Kevin Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/150/Precinct-3,,,
TX,Bexar County Council District 4,County Commissioner Precinct 4,Tommy Calvert,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/719/Precinct-4,,,
