state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
FL,Broward County Council District 1,County Commissioner District 1,Martin David Kiar,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District1/Pages/Default.aspx,mkiar@broward.org,,
FL,Broward County Council District 2,County Commissioner District 2,Mark D. Bogen,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District2/Pages/default.aspx,,,
FL,Broward County Council District 3,County Commissioner District 3,Stacy Ritter,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District3/Pages/Default.aspx,,,
FL,Broward County Council District 4,County Commissioner District 4,Chip LaMarca,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District4/Pages/default.aspx,,,
FL,Broward County Council District 5,County Commissioner District 5,Lois Wexler,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District5/Pages/Default.aspx,,,
FL,Broward County Council District 6,County Commissioner District 6,Beam Furr,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District6/Pages/default.aspx,,,
FL,Broward County Council District 7,County Commissioner District 7,Tim Ryan,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District7/Pages/Default.aspx,tryan@broward.org,,
FL,Broward County Council District 8,County Commissioner District 8,Barbara Sharief,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District8/Pages/default.aspx,bsharief@broward.org,,
FL,Broward County Council District 9,County Commissioner District 9,Dale V.C. Holness,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District9/Pages/Default.aspx,dholness@broward.org,,
FL,Broward County,Clerk of the Circuit Court,Howard C. Forman,"201 SE 6  Street Room 136 Fort Lauderdale, FL 33301",(954) 831-5605,http://www.browardclerk.org,,,
FL,Broward County,Sheriff,Scott J. Israel,"Fort Lauderdale, FL 33312",(954) 831-8901,http://www.sheriff.org,,,
FL,Broward County,Property Appraiser,Lori Parrish,"115 S. Andrews Avenue Room 111 Fort Lauderdale, FL 33301",(954) 357-6830,http://www.bcpa.net,,,
FL,Broward County,Supervisor of Elections,Brenda C. Snipes,"115 South Andrews Ave Room 102 Fort Lauderdale, FL 33301",(954) 357-7050,http://www.browardsoe.org,,,
