state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
NV,Clark County Council District A,County Commissioner District A,Steve Sisolak,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districta,ccdistA@ClarkCountyNV.gov,,
NV,Clark County Council District C,County Commissioner District C,Larry Brown,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districtc,ccdistC@ClarkCountyNV.gov,,
NV,Clark County Council District B,County Commissioner District B,Marilyn Kirkpatrick,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districtb,ccdistB@ClarkCountyNV.gov,,
NV,Clark County Council District D,County Commissioner District D,Lawrence Weekly,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districtd,ccdistD@ClarkCountyNV.gov,,
NV,Clark County Council District F,County Commissioner District F,Susan Brager,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districtf,ccdistF@ClarkCountyNV.gov,,
NV,Clark County Council District G,County Commissioner District G,Mary Beth Scow,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/county-commissioners/districtg,ccdistG@ClarkCountyNV.gov,,
NV,Clark County,County Assessor,Michele W. Shafe,,,http://www.clarkcountynv.gov/elected-officials/Pages/CountyAssessor.aspx,,,
NV,Clark County,County Clerk,Lynn Goya,,,http://www.clarkcountynv.gov/elected-officials/Pages/CountyClerk.aspx,,,
NV,Clark County,District Attorney,Steven B. Wolfson,,,http://www.clarkcountynv.gov/elected-officials/Pages/DistrictAttorney.aspx,,,
NV,Clark County,Public Administrator,John J. Cahill,,,http://www.clarkcountynv.gov/elected-officials/Pages/PublicAdministrator.aspx,,,
NV,Clark County,County Recorder,Debbie Conway,,,http://www.clarkcountynv.gov/elected-officials/Pages/CountyRecorder.aspx,,,
NV,Clark County,County Treasurer,Laura B. Fitzpatrick,,,http://www.clarkcountynv.gov/elected-officials/Pages/CountyTreasurer.aspx,,,
