state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
IL,Cook County Council 1st District,County Commissioner 1st District,Richard R. Boykin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4566,http://www.cookcountyil.gov/richard-boykin-1st/,richard.boykin@cookcountyil.gov,,
IL,Cook County Council 2nd District,County Commissioner 2nd District,Robert Steele,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312)603-3019,http://www.cookcountyil.gov/robert-steele/,r.steele@robertsteele.org,,
IL,Cook County Council 3rd District,County Commissioner 3rd District,"Jerry ""Iceman"" Butler","118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/jerry-iceman-butler/,,,
IL,Cook County Council 4th District,County Commissioner 4th District,Stanley Moore,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-2065,http://www.cookcountyil.gov/stanley-moore-4th/,,,
IL,Cook County Council 5th District,County Commissioner 5th District,Deborah Sims,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603 6381,http://www.cookcountyil.gov/deborah-sims-5th/,deborah.sims@cookcountyil.gov,,
IL,Cook County Council 6th District,County Commissioner 6th District,Joan Patricia Murphy,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4216,http://www.cookcountyil.gov/joan-patricia-murphy-6th/,joan.murphy@cookcountyil.gov,,
IL,Cook County Council 7th District,County Commissioner 7th District,Jesus G. Garcia,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-5443,http://www.cookcountyil.gov/jesus-g-garcia-7th/,Jesus.Garcia@cookcountyil.gov,,
IL,Cook County Council 8th District,County Commissioner 8th District,Luis Arroyo Jr.,"118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/luis-arroyojr-8th/,,,
IL,Cook County Council 9th District,County Commissioner 9th District,Peter N. Silvestri,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4393,http://www.cookcountyil.gov/peter-n-silvestri-9th/,cookcty9@aol.com,,
IL,Cook County Council 10th District,County Commissioner 10th District,Bridget Gainer,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4210,http://www.cookcountyil.gov/bridget-gainer-10th/,Office@bridgetgainer.com,,
IL,Cook County Council 11th District,County Commissioner 11th District,John P. Daley,"118 N. Clark Street, Room 567 Chicago, IL 60602",,http://www.cookcountyil.gov/john-p-daley-11th/,,,
IL,Cook County Council 12th District,County Commissioner 12th District,John A. Fritchey,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6380,http://www.cookcountyil.gov/john-a-fritchey-12th/,commish@fritchey.com,,
IL,Cook County Council 13th District,County Commissioner 13th District,Larry Suffredin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312)603-6383,http://www.cookcountyil.gov/larry-suffredin-13th/,larry.suffredin@cookcountyil.gov,,
IL,Cook County Council 14th District,County Commissioner 14th District,Gregg Goslin,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-4932,http://www.cookcountyil.gov/gregg-goslin-14th/,commissioner.goslin@cookcountyil.gov,,
IL,Cook County Council 15th District,County Commissioner 15th District,Timothy O. Schneider,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6388,http://www.cookcountyil.gov/timothy-o-schneider-15th/,tim.schneider@cookcountyil.gov,,
IL,Cook County Council 16th District,County Commissioner 16th District,Jeffrey R. Tobolski,"118 N. Clark Street, Room 567 Chicago, IL 60602",(312) 603-6384,http://www.cookcountyil.gov/jeffrey-r-tobolski-16th/,,,
IL,Cook County Council 17th District,County Commissioner 17th District,"Elizabeth ""Liz"" Doody Gorman","118 N. Clark Street, Room 567 Chicago, IL 60602",(312 )603-4215,http://www.cookcountyil.gov/elizabeth-liz-doody-gorman-17th/,,,
IL,Cook County,Assessor,Joseph Berrios,,,http://www.cookcountyil.gov/joseph-berrios/,,,
IL,Cook County,Clerk of Court,Dorothy Brown,,,http://www.cookcountyclerkofcourt.org/,,,
IL,Cook County,County Clerk,David Orr,,,http://www.cookcountyclerk.com/Pages/default.aspx,,,
IL,Cook County,Sheriff,Thomas J. Dart,,,http://www.cookcountysheriff.org,,,
IL,Cook County,State's Attorney,Anita Alvarez,,,http://www.statesattorney.org/,,,
IL,Cook County,Treasurer,Maria Pappas,,,http://www.cookcountytreasurer.com/,,,
