state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,Alameda County,Assessor,Ron Thomsen,,,http://www.acgov.org/assessor/,,,
CA,Alameda County,Auditor/Controller,Steve Manning,,,http://www.acgov.org/auditor/,,,
CA,Alameda County Council District 1,Board of Supervisors 1st District,Scott Haggerty,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6691,http://www.acgov.org/board/district1/,,,
CA,Alameda County Council District 2,Board of Supervisors 2nd District,Richard Valle,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6692,http://www.acgov.org/board/district2/,,,
CA,Alameda County Council District 3,Board of Supervisors 3rd District,Wilma Chan,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6693,http://www.acgov.org/board/district3/,,,
CA,Alameda County Council District 4,Board of Supervisors 4th District,Nate Miley,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6694,http://www.acgov.org/board/district4/,,,
CA,Alameda County Council District 5,Board of Supervisors 5th District,Keith Carson,"County of Alameda Administration Building 1221 Oak Street, #536, Oakland, CA 94612",(510) 272-6695,http://www.acgov.org/board/district5/,,,
CA,Alameda County,District Attorney,Nancy E. O'Malley,,,http://www.acgov.org/cao/,,,
CA,Alameda County,Sheriff/Coroner,Gregory J. Ahern,,,http://www.acgov.orghttp://www.alcoda.org/,,,
CA,Alameda County,Superintendent of Schools,Sheila Jordan,,,http://www.acgov.orghttp://www.alamedacountysheriff.org/,,,
CA,Alameda County,Treasurer/Tax Collector,Donald R. White,,,http://www.acgov.org/treasurer/,,,
TX,Bexar County,County Clerk,"Gerard C. ""Gerry"" Rickhoff",,,https://gov.propertyinfo.com/tx-bexar/,,,
TX,Bexar County,Criminal District Attorney,"Criminal District Attorney Nicholas ""Nico"" LaHood",,,http://www.bexar.org/da/index.html,,,
TX,Bexar County,District Clerk,Donna Kay McKinney,,,http://www.bexar.org/DC,,,
TX,Bexar County,Sheriff,Susan L. Pamerleau,,,http://www.bexar.org/sheriff,,,
TX,Bexar County,Tax Assessor-Collector,Albert Uresti,,,http://www.bexar.org/tax,,,
TX,Bexar County,County Judge,Nelson W. Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/1127/County-Judge,,,
TX,Bexar County Council District 1,County Commissioner Precinct 1,Sergio 'Chico' Rodriguez,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/148/Precinct-1,,,
TX,Bexar County Council District 2,County Commissioner Precinct 2,Paul Elizondo,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/149/Precinct-2,,,
TX,Bexar County Council District 3,County Commissioner Precinct 3,Kevin Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/150/Precinct-3,,,
TX,Bexar County Council District 4,County Commissioner Precinct 4,Tommy Calvert,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/719/Precinct-4,,,
FL,Broward County Council District 1,County Commissioner District 1,Marty Kiar,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District1/Pages/Default.aspx,mkiar@broward.org,,
