state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
TX,Dallas County,County Judge,Clay Jenkins,,,http://www.dallascounty.org/department/comcrt/cjenkins.php,,,
TX,Dallas County,County Clerk,,,,http://www.dallascounty.org/department/countyclerk/countyclerk.php,,,
TX,Dallas County,District Attorney,Susan Hawk,,,http://www.dallascounty.org/department/da/da_index.php,,,
TX,Dallas County,District Clerk,Felicia Pitre,,,http://www.dallascounty.org/department/districtclerk/districtclerk_index.html,,,
TX,Dallas County,Sheriff,Lupe Valdez,,,http://www.dallascounty.org/department/sheriff/sheriff_intro.php,,,
TX,Dallas County,Tax Assessor-Collector,John R. Ames,,,http://www.dallascounty.org/department/tax/taxoffice_home.html,,,
TX,Dallas County,Treasurer,Pauline Medrano,,,http://www.dallascounty.org/department/treasurer/treasurer_index.php,,,
TX,Dallas County Council District 1,County Commissioner District 1,Dr. Theresa M. Daniel,"411 Elm St., 2nd Floor Dallas, Texas 75202",214-653-6668,http://www.dallascounty.org/department/comcrt/daniel.php,,,
TX,Dallas County Council District 2,County Commissioner District 2,Mike Cantrell,"411 Elm St., 2nd Floor Dallas, Texas 75202",,http://www.dallascounty.org/department/comcrt/district2/cantrell.html,,,
TX,Dallas County Council District 3,County Commissioner District 3,John Wiley Price,"411 Elm St., 2nd Floor Dallas, Texas 75202",,http://www.dallascounty.org/department/comcrt/district3/bio.php,,,
TX,Dallas County Council District 4,County Commissioner District 4,Dr. Elba Garcia,"411 Elm St., 2nd Floor Dallas, Texas 75202",214653-6670,http://www.dallascounty.org/department/comcrt/district4/home.php,,,
