state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
TX,Harris County,County Judge,Ed Emmett,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.judgeemmett.org,,,
TX,Harris County Council Precinct 1,County Commissioner Precinct 1,Gene Locke,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://hcp1.net/,,,
TX,Harris County Council Precinct 2,County Commissioner Precinct 2,Jack Morman,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcp2.com/,,,
TX,Harris County Council Precinct 3,County Commissioner Precinct 3,Steve Radack ,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.pct3.hctx.net/,,,
TX,Harris County Council Precinct 4,County Commissioner Precinct 4,R. Jack Cagle,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcp4.net/,,,
TX,Harris County,County Attorney,Vince Ryan,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.harriscountytx.gov/coatty/,,,
TX,Harris County,District Attorney,Devon Anderson,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://app.dao.hctx.net/,,,
TX,Harris County,County Clerk,Stan Stanart,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.cclerk.hctx.net/,,,
TX,Harris County,District Clerk,Chris Daniel,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcdistrictclerk.com/,,,
TX,Harris County,Sheriff,Ron Hickman,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hcso.hctx.net/,,,
TX,Harris County,Tax Assessor-Collector,Mike Sullivan,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.hctax.net/,,,
TX,Harris County,County Treasurer,Orlando Sanchez,"1001 Preston, Houston, Texas 77002",(713) 755-5000,http://www.harriscountytx.gov/treasurer/,,,
