state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
WA,King County Council District 1,County Councilmember District 1,Rod Dembowski,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1001,http://www.kingcounty.gov/Dembowski.aspx,rod.dembowski@kingcounty.gov%20,,
WA,King County Council District 2,County Councilmember District 2,Larry Gossett,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1002,http://www.kingcounty.gov/Gossett.aspx,larry.gossett@kingcounty.gov,,
WA,King County Council District 3,County Councilmember District 3,Kathy Lambert,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1003,http://www.kingcounty.gov/Lambert.aspx,kathy.lambert@kingcounty.gov,,
WA,King County Council District 4,County Councilmember District 4,Larry Phillips,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1004,http://www.kingcounty.gov/Phillips.aspx,larry.phillips@kingcounty.gov,,
WA,King County Council District 5,County Councilmember District 5,Dave Upthegrove,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1005,http://www.kingcounty.gov/Upthegrove.aspx,dave.upthegrove@kingcounty.gov,,
WA,King County Council District 6,County Councilmember District 6,Jane Hague,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1006,http://www.kingcounty.gov/Hague.aspx,jane.hague@kingcounty.gov,,
WA,King County Council District 7,County Councilmember District 7,Pete von Reichbauer,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1007,http://www.kingcounty.gov/vonReichbauer.aspx,pete.vonreichbauer@kingcounty.gov,,
WA,King County Council District 8,County Councilmember District 8,Joe McDermott,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1008,http://www.kingcounty.gov/McDermott.aspx,joe.mcdermott@kingcounty.gov,,
WA,King County Council District 9,County Councilmember District 9,Reagan Dunn,"516 Third Ave., Rm. 1200 Seattle, WA 98104",206-477-1009,http://www.kingcounty.gov/Dunn.aspx,reagan.dunn@kingcounty.gov,,
WA,King County,Assessor,Lloyd Hara,,,http://www.kingcounty.gov/Assessor.aspx,,,
WA,King County,Elections Director,Sherril Huff,,,http://www.kingcounty.gov/elections.aspx,,,
WA,King County,Prosecutor,Dan Satterberg,,,http://www.kingcounty.gov/Prosecutor.aspx,,,
WA,King County,Sheriff,John Urquhart,,,http://www.kingcounty.gov/Prosecutor/news.aspx,,,
