state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
AZ,Maricopa County Council District 1,County Supervisor District 1,Denny Barney,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-1776,,barneyd@mail.maricopa.gov,,
AZ,Maricopa County Council District 2,County Supervisor District 2,Steve Chucri,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7431,,chucris@mail.maricopa.gov,,
AZ,Maricopa County Council District 3,County Supervisor District 3,Andy Kunasek,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7562,,akunasek@mail.maricopa.gov,,
AZ,Maricopa County Council District 4,County Supervisor District 4,Clint L. Hickman,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7642,,chickman@mail.maricopa.gov,,
AZ,Maricopa County Council District 5,County Supervisor District 5,Steve Gallardo,"301 W. Jefferson, 10th Floor Phoenix, Arizona 85003",(602) 506-7092,,arzagawilliamsc@mail.maricopa.gov,,
AZ,Maricopa County,Assessor,Paul Petersen,,,http://mcassessor.maricopa.gov/the-assessor/biography/,,,
AZ,Maricopa County,Clerk of the Board,Fran McCarroll,,,https://www.maricopa.gov/clk_board/default.aspx,,,
AZ,Maricopa County,Clerk of the Court,Michael Jeanes,,,http://clerkofcourt.maricopa.gov/clkbio.asp,,,
AZ,Maricopa County,County Attorney,Bill Montgomery,,,http://www.maricopacountyattorney.org/,,,
AZ,Maricopa County,Recorder,Helen Purcell,,,https://www.maricopa.gov/clk_board/default.aspx,,,
AZ,Maricopa County,Sheriff,Joe Arpaio,,,http://www.mcso.org/Default.aspx,,,
AZ,Maricopa County,Treasurer,Charles 'Hos' Hoskins,,,http://recorder.maricopa.gov/,,,
