electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
Bexar County,County Clerk,"Gerard C. ""Gerry"" Rickhoff",,,https://gov.propertyinfo.com/tx-bexar/,,,
Bexar County,Criminal District Attorney,Nicholas 'Nico' LaHood,,,http://www.bexar.org/da/index.html,,,
Bexar County,District Clerk,Donna Kay McKinney,,,http://www.bexar.org/DC,,,
Bexar County,Sheriff,Susan L. Pamerleau,,,http://www.bexar.org/sheriff,,,
Bexar County,Tax Assessor-Collector,Albert Uresti,,,http://www.bexar.org/tax,,,
Bexar County,County Judge,Nelson W. Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/countyjudge/,,,
Bexar County Council District 1,County Commissioner Precinct 1,Sergio 'Chico' Rodriguez,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/commissionerpct1,,,
Bexar County Council District 2,County Commissioner Precinct 2,Paul Elizondo,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/commissionerpct2,,,
Bexar County Council District 3,County Commissioner Precinct 3,Kevin Wolff,"101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/commissionerpct3,,,
Bexar County Council District 4,County Commissioner Precinct 4,"Tommy Calvert, Jr.","101 W. Nueva 10th Floor San Antonio, TX 78205-3482",210-335-2626,http://www.bexar.org/719/Precinct-4,,,
Broward County Council District 1,County Commissioner District 1,Martin David Kiar,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District1/Pages/Default.aspx,mkiar@broward.org,,
Broward County Council District 2,County Commissioner District 2,Mark D. Bogen,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District2/Pages/default.aspx,,,
Broward County Council District 3,County Commissioner District 3,Stacy Ritter,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District3/Pages/Default.aspx,,,
Broward County Council District 4,County Commissioner District 4,Chip LaMarca,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District4/Pages/Default.aspx,clamarca@broward.org,,
Broward County Council District 5,County Commissioner District 5,Lois Wexler,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District5/Pages/Default.aspx,,,
Broward County Council District 6,County Commissioner District 6,Beam Furr,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District6/Pages/default.aspx,,,
Broward County Council District 7,County Commissioner District 7,Tim Ryan,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District7/Pages/Default.aspx,tryan@broward.org,,
Broward County Council District 8,County Commissioner District 8,Barbara Sharief,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District8/Pages/Default.aspx,bsharief@broward.org,,
Broward County Council District 9,County Commissioner District 9,Dale V.C. Holness,"115 S. Andrews Ave., Room 409, Fort Lauderdale, FL 33301-1872",954-357-7000,http://www.broward.org/Commission/District9/Pages/Default.aspx,dholness@broward.org,,
Broward County,Clerk of the Circuit Court,Howard C. Forman,,,http://www.browardsoe.org/ElectedOfficial.aspx?id=332,,,
Broward County,Sheriff,Scott J. Israel,,,http://www.browardsoe.org/ElectedOfficial.aspx?id=333,,,
Broward County,Property Appraiser,Lori Parrish,,,http://www.browardsoe.org/ElectedOfficial.aspx?id=334,,,
Broward County,Supervisor of Elections,Brenda C. Snipes,,,http://www.browardsoe.org/ElectedOfficial.aspx?id=320,,,
Clark County Council A,County Comissioner District A,Steve Sisolak,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500 ,http://www.clarkcountynv.gov/depts/countycommissioners/districta,ccdistA@ClarkCountyNV.gov,,
Clark County Council C,County Comissioner District C,Larry Brown,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500 ,http://www.clarkcountynv.gov/depts/countycommissioners/districtc,ccdistc@co.clark.nv.us,,
Clark County Council B,County Comissioner District B,Tom Collins,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/depts/countycommissioners/districtb,ccdistb@ClarkCountyNV.gov,,
Clark County Council D,County Comissioner District D,Lawrence Weekly,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/depts/countycommissioners/districtd,ccdistd@co.clark.nv.us,,
Clark County Council E,County Comissioner District E,Chris Giunchigliani,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/depts/countycommissioners/districte/Pages/default.aspx,ccdiste@ClarkCountyNV.gov,,
Clark County Council F,County Comissioner District F,Susan Brager,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/depts/countycommissioners/districtf,ccdistf@ClarkCountyNV.gov,,
Clark County Council G,County Comissioner District G,Mary Beth Scow,"500 S. Grand Central Parkway Las Vegas, Nevada 89155",(702) 455-3500,http://www.clarkcountynv.gov/depts/countycommissioners/districtg,ccdistg@ClarkCountyNV.gov,,
Clark County,Assessor,MicheleW. Shafe,,,http://www.clarkcountynv.gov//ElectedOfficials/Pages/CountyAssessor.aspx,,,
Clark County,Clerk,Lynn Goya,,,,,,
Clark County,District Attorney,Steven B. Wolfson,,,http://www.clarkcountynv.gov//ElectedOfficials/Pages/DistrictAttorney.aspx,,,
Clark County,Public Administrator,John J. Cahill,,,http://www.clarkcountynv.gov//ElectedOfficials/Pages/PublicAdministrator.aspx,,,
Clark County,Recorder,Debbie Conway,,,http://www.clarkcountynv.gov//ElectedOfficials/Pages/CountyRecorder.aspx,,,
