official.name,electoral.district,office.name,phone,website,address,email
Carlos A. Gimenez,Miami-Dade County,Mayor,,http://www.miamidade.gov/mayor/,,
Harvey Ruvin,Miami-Dade County,"Clerk, Circuit and County Courts",,http://www.miami-dadeclerk.com/,,
Pedro J. Garcia,Miami-Dade County,Property Appraiser,,http://www.miamidade.gov/pa/,,
Barbara Jordan,County Council District 1,County Commissioner District 1,305-375-5694,http://www.miamidade.gov/district01/home.asp,"111 NW 1st Street, Suite 220 Miami, Florida 33128",District1@miamidade.gov
Jean Monestime,County Council District 2,County Commissioner District 2,305-375-4833,http://www.miamidade.gov/district02,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district2@miamidade.gov
Audrey Edmonson,County Council District 3,County Commissioner District 3,305-375-5393,http://www.miamidade.gov/district03,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district3@miamidade.gov
Sally A. Heyman,County Council District 4,County Commissioner District 4,305-375-5128,http://www.miamidade.gov/district04,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district4@miamidade.gov
Bruno A. Barreiro,County Council District 5,County Commissioner District 5,305-643-8525,http://www.miamidade.gov/district05,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district5@miamidade.gov
Rebeca Sosa,County Council District 6,County Commissioner District 6,305-375-5696,http://www.miamidade.gov/district06,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district6@miamidade.gov
Xavier L. Suarez,County Council District 7,County Commissioner District 7,305-446-3311,http://www.miamidade.gov/district07,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district7@miamidade.gov
Daniella Levine Cava,County Council District 8,County Commissioner District 8,305-375-5218,http://www.miamidade.gov/district08,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district8@miamidade.gov
Dennis C. Moss,County Council District 9,County Commissioner District 9,305-375-4832,http://www.miamidade.gov/district09,"111 NW 1st Street, Suite 220 Miami, Florida 33128",DennisMoss@miamidade.gov
Javier D. Souto,County Council District 10,County Commissioner District 10,305-375-4835,http://www.miamidade.gov/district10,"111 NW 1st Street, Suite 220 Miami, Florida 33128",District10@miamidade.gov
Juan C. Zapata,County Council District 11,County Commissioner District 11,305-375-5511,http://www.miamidade.gov/district11,"111 NW 1st Street, Suite 220 Miami, Florida 33128",Zapata@miamidade.gov
"Jose ""Pepe"" Diaz",County Council District 12,County Commissioner District 12,305-375-4343,http://www.miamidade.gov/district12,"111 NW 1st Street, Suite 220 Miami, Florida 33128",District12@miamidade.gov
"Esteban Bovo, Jr.",County Council District 13,County Commissioner District 13,305-375-4831,http://www.miamidade.gov/district13,"111 NW 1st Street, Suite 220 Miami, Florida 33128",district13@miamidade.gov
