state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
FL,Miami-Dade County,Mayor,Carlos A. Gimenez,,,http://www.miamidade.gov/mayor/,,,
FL,Miami-Dade County,"Clerk, Circuit and County Courts",Harvey Ruvin,,,http://www.miami-dadeclerk.com/,,,
FL,Miami-Dade County,Property Appraiser,Pedro J. Garcia,,,http://www.miamidade.gov/pa/,,,
FL,Miami-Dade County Council District 1,County Commissioner District 1,Barbara Jordan,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5694,http://www.miamidade.gov/district01/home.asp,District1@miamidade.gov,,
FL,Miami-Dade County Council District 2,County Commissioner District 2,Jean Monestime,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4833,http://www.miamidade.gov/district02,district2@miamidade.gov,,
FL,Miami-Dade County Council District 3,County Commissioner District 3,Audrey Edmonson,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5393,http://www.miamidade.gov/district03,district3@miamidade.gov,,
FL,Miami-Dade County Council District 4,County Commissioner District 4,Sally A. Heyman,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5128,http://www.miamidade.gov/district04,district4@miamidade.gov,,
FL,Miami-Dade County Council District 5,County Commissioner District 5,Bruno A. Barreiro,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-643-8525,http://www.miamidade.gov/district05,district5@miamidade.gov,,
FL,Miami-Dade County Council District 6,County Commissioner District 6,Rebeca Sosa,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5696,http://www.miamidade.gov/district06,district6@miamidade.gov,,
FL,Miami-Dade County Council District 7,County Commissioner District 7,Xavier L. Suarez,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-669-4003,http://www.miamidade.gov/district07,district7@miamidade.gov,,
FL,Miami-Dade County Council District 8,County Commissioner District 8,Daniella Levine Cava,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5218,http://www.miamidade.gov/district08,district8@miamidade.gov,,
FL,Miami-Dade County Council District 9,County Commissioner District 9,Dennis C. Moss,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4832,http://www.miamidade.gov/district09,DennisMoss@miamidade.gov,,
FL,Miami-Dade County Council District 10,County Commissioner District 10,Javier D. Souto,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4835,http://www.miamidade.gov/district10,District10@miamidade.gov,,
FL,Miami-Dade County Council District 11,County Commissioner District 11,Juan C. Zapata,"111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-5511,http://www.miamidade.gov/district11,Zapata@miamidade.gov,,
FL,Miami-Dade County Council District 12,County Commissioner District 12,"Jose ""Pepe"" Diaz","111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4343,http://www.miamidade.gov/district12,District12@miamidade.gov,,
FL,Miami-Dade County Council District 13,County Commissioner District 13,"Esteban Bovo, Jr.","111 NW 1st Street, Suite 220 Miami, Florida 33128",305-375-4831,http://www.miamidade.gov/district13,district13@miamidade.gov,,
