state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,Orange County Council District 3,Supervisor 3rd District,Todd Spitzer,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3330,http://ocgov.com/gov/bos/3,,,
CA,Orange County Council District 5,Supervisor 5th District,Lisa A. Bartlett,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3550,http://ocgov.com/gov/bos/5,,,
CA,Orange County Council District 1,Supervisor 1st District,Andrew Do,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3110,http://ocgov.com/gov/bos/1,,,
CA,Orange County Council District 2,Supervisor 2nd District,Michelle Steel,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3220,http://ocgov.com/gov/bos/2,,,
CA,Orange County Council District 4,Supervisor 4thDistrict,Shawn Nelson,"333 W. Santa Ana Blvd., 5th Floor",(714) 834-3440,http://ocgov.com/gov/bos/4,,,
CA,Orange County,Assessor,Claude Parrish,,,http://ocgov.com/gov/assessor/,,,
CA,Orange County,Sheriff-Coroner,Sandra Hutchens,,,http://ocsd.org/,,,
CA,Orange County,District Attorney,Tony Rackauckas,,,http://orangecountyda.org/,,,
CA,Orange County,Treasurer - Tax Collector,Shari L. Freidenrich,,,http://ocgov.com/gov/ttc/,,,
CA,Orange County,Auditor-Controller,Eric Woolery,,,http://ac.ocgov.com/,,,
