state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,Riverside County Council District 1,Supervisor District 1,Kevin Jeffries,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1010,http://www.rivcoag.org,district1@rcbos.org,,
CA,Riverside County Council District 2,Supervisor District 2,John F. Tavaglione,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1020,http://www.rivcocob.org/,district1@rcbos.org,,
CA,Riverside County Council District 3,Supervisor District 3,Chuck Washington,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1030,http://www.rivcocfw.com/,district2@rcbos.org,,
CA,Riverside County Council District 4,Supervisor District 4,John J. Benoit,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1040,http://www.rivcoda.org/,district2@rcbos.org,,
CA,Riverside County Council District 5,Supervisor District 5,Marion Ashley,"4080 Lemon Street - 5th Floor Riverside, California 92501",(951) 955-1050,http://www.rivcoeda.org/,district3@rcbos.org,,
CA,Riverside County,Assessor-Clerk-Recorder,Peter Aldana,,,http://www.asrclkrec.com,,,
CA,Riverside County,Auditor-Controller,Paul Angulo,,,http://www.auditorcontroller.org,,,
CA,Riverside County,District Attorney,Michael Hestrin,,,http://www.rivcoda.org/,,,
CA,Riverside County,"Sheriff, Coroner and Public Administrator",Stanley Sniff,,,http://www.riversidesheriff.org/coroner/,,,
CA,Riverside County,Treasurer and Tax Collector,Don Kent,,,http://www.countytreasurer.org/,,,
