state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
CA,San Bernardino County Council District 1,County Supervisor District 1,Robert A. Lovingood,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4830,http://www.sbcounty.gov/bosd1/,,,
CA,San Bernardino County Council District 2,County Supervisor District 2,Janice Rutherford,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4833,http://www.sbcounty.gov/bosd2/,,,
CA,San Bernardino County Council District 3,County Supervisor District 3,James Ramos,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4855,http://www.sbcounty.gov/bosd3/,,,
CA,San Bernardino County Council District 4,County Supervisor District 4,Curt Hagman ,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4866,http://www.sbcounty.gov/bosd4/,,,
CA,San Bernardino County Council District 5,County Supervisor District 5,Josie Gonzales,"385 N. Arrowhead Avenue San Bernardino, CA 92415",(909) 387.4565,http://www.sbcounty.gov/bosd5/,,,
CA,San Bernardino County,Auditor-Controller/Treasurer/Tax Collector,Larry Walker,,(909) 387.8306,http://www.sbcounty.gov/acr/,,,
CA,San Bernardino County,Assessor-Recorder/County Clerk,Bob Dutton,,(909) 387.8307,http://www.sbcounty.gov/arc/,,,
CA,San Bernardino County,District Attorney,Michael A. Ramos,,(909) 387.8309,http://www.sbcounty.gov/da/,,,
CA,San Bernardino County,Sheriff / Coroner,John McMahon,,(909) 884.0156,http://www.sbcounty.gov/sheriff/,,,
CA,San Bernardino County,Superintendent of Schools,Ted Alejandre,,(909) 888.3228,http://www.sbcss.k12.ca.us,,,
