state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
NY,Suffolk County Council District 1,County Legislator District 1,Leg. Albert Krupski,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do1/home.aspx,,,
NY,Suffolk County Council District 2,County Legislator District 2,Leg. Jay H. Schneiderman,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://www.suffolkcountyny.gov/do2/Home.aspx,,,
NY,Suffolk County Council District 3,County Legislator District 3,Leg. Kate M. Browning,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do03/do03.html,,,
NY,Suffolk County Council District 4,County Legislator District 4,Leg. Tom Muratore,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do04/do04.html,,,
NY,Suffolk County Council District 5,County Legislator District 5,Leg. Kara Hahn,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do5/home.aspx,,,
NY,Suffolk County Council District 6,County Legislator District 6,Leg. Sarah Anker,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do6/home.aspx,,,
NY,Suffolk County Council District 7,County Legislator District 7,Leg. Robert Calarco,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do7/home.aspx,,,
NY,Suffolk County Council District 8,County Legislator District 8,Leg. William J. Lindsay III,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do08/do08.html,,,
NY,Suffolk County Council District 9,County Legislator District 9,Leg. Monica R. Martinez,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do09/do09.html,,,
NY,Suffolk County Council District 10,County Legislator District 10,Leg. Tom Cilmi,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do10/home.aspx,,,
NY,Suffolk County Council District 11,County Legislator District 11,Leg. Thomas F. Barraga,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do11/home.aspx,,,
NY,Suffolk County Council District 12,County Legislator District 12,Leg. Leslie Kennedy,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do12/do12.html,,,
NY,Suffolk County Council District 13,County Legislator District 13,Leg. Robert Trotta,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do13/do13.html,,,
NY,Suffolk County Council District 14,County Legislator District 14,Leg. Kevin J. McCaffrey,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do14/do14.html,,,
NY,Suffolk County Council District 15,County Legislator District 15,Leg. DuWayne Gregory,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do15/home.aspx,,,
NY,Suffolk County Council District 16,County Legislator District 16,Leg. Steve Stern,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do16/home.aspx,,,
NY,Suffolk County Council District 17,County Legislator District 17,Leg. Lou D'Amaro,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://suffolkcountyny.gov/do17/home.aspx,,,
NY,Suffolk County Council District 18,County Legislator District 18,Leg. William Spencer,"William H. Rogers Building, North County Complex Smithtown, NY 11787",(631) 853-4070,http://legis.suffolkcountyny.gov/do/do18/do18.html,,,
NY,Suffolk County,Comptroller,"Comptroller Joseph Sawicki, Jr.",,,http://suffolkcountyny.gov/comptroller/Home.aspx,,,
NY,Suffolk County,District Attorney,Thomas J. Spota,,,http://suffolkcountyny.gov/da/Home.aspx,,,
NY,Suffolk County,Sheriff,Vincent F. DeMarco,,,http://suffolkcountyny.gov/sheriff/Home.aspx,,,
NY,Suffolk County,County Clerk,Judith A. Pascale,,,http://suffolkcountyny.gov/Departments/countyclerk.aspx,,,
