state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
TX,Tarrant County,County Judge,Glen Whitley,,,http://access.tarrantcounty.com//en/county-judge.html,,,
TX,Tarrant County Council District 1,Commissioner Precinct 1,Roy Charles Brooks,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-1.html,,,
TX,Tarrant County Council District 2,Commissioner Precinct 2,Andy Nguyen,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-2.html,,,
TX,Tarrant County Council District 3,Commissioner Precinct 3,Gary Fickes,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-3.html,,,
TX,Tarrant County Council District 4,Commissioner Precinct 4,J. D. Johnson,"100 E. Weatherford Room 502A Fort Worth, Texas 76196",817-884-1234,http://access.tarrantcounty.com//en/commissioner-4.html,,,
TX,Tarrant County,County Clerk,Mary Louise Garcia,,,http://access.tarrantcounty.com//en/county-clerk.html,,,
TX,Tarrant County,Criminal District Attorney,Sharen Wilson,,,http://access.tarrantcounty.com//en/criminal-district-attorney.html,,,
TX,Tarrant County,District Clerk,Thomas A. Wilder,,,http://access.tarrantcounty.com//en/district-clerk.html,,,
TX,Tarrant County,Sheriff,Dee B. Anderson,,,http://access.tarrantcounty.com//en/sheriff/sheriff-s-administration/sheriff-s-biography.html,,,
TX,Tarrant County,Tax Assessor-Collector,Ronald J. Wright,,,http://access.tarrantcounty.com//en/tax.html,,,
