state,electoral.district,office.name,official.name,address,phone,website,email,facebook,twitter
MI,Wayne County,County Executive,Warren C. Evans,,(313) 224-0286,http://www.waynecounty.com/executive/index.htm,CEOHelp@waynecounty.com,,
MI,Wayne County,County Clerk,Cathy M. Garrett,,(313) 224-6262,http://www.waynecounty.com/clerk/index.htm,clerkhelp@waynecounty.com,,
MI,Wayne County,County Prosecutor ,Kym L. Worthy,,(313) 224 - 5777,http://www.waynecounty.com/prosecutor/index.htm,prosecutor@waynecounty.com,,
MI,Wayne County,County Treasurer,Richard P. Hathaway,,(313) 224-5990,http://www.waynecounty.com/treasurer/index.htm,taxinfo@waynecounty.comWayne County Treasurer,,
MI,Wayne County,Register of Deeds,Bernard J. Youngblood,,(313) 224-5850,http://www.waynecounty.com/deeds/index.htm,rodhelp@waynecounty.com,,
MI,Wayne County,County Sheriff,Benny N. Napoleon,,(313) 224-2222,http://www.waynecounty.com/sheriff/index.htm,sheriffhelp@waynecounty.com,,
MI,Wayne County Council District 1,Commissioner District 1,Timothy Killeen,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0920,http://www.waynecounty.com/commission/district1.htm,tkilleen@co.wayne.mi.us,,
MI,Wayne County Council District 2,Commissioner District 2,Jewel Ware,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0916,http://www.waynecounty.com/commission/district2.htm,jstaff@co.wayne.mi.us,,
MI,Wayne County Council District 3,Commissioner District 3,Martha G. Scott,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0878,http://www.waynecounty.com/commission/district3.htm,mscott2@waynecounty.com,,
MI,Wayne County Council District 4,Commissioner District 4,Ilona Varga,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0886,http://www.waynecounty.com/commission/district4.htm,ivarga@waynecounty.com,,
MI,Wayne County Council District 5,Commissioner District 5,Irma Clark-Coleman,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0942,http://www.waynecounty.com/commission/district5.htm,iclark@co.wayne.mi.us,,
MI,Wayne County Council District 6,Commissioner District 6,Burton Leland,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0884,http://www.waynecounty.com/commission/district6.htm,bleland@waynecounty.com,,
MI,Wayne County Council District 7,Commissioner District 7,Alisha Bell,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0936,http://www.waynecounty.com/commission/district7.htm,abell3@waynecounty.com,,
MI,Wayne County Council District 8,Commissioner District 8,Diane Webb,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0930,http://www.waynecounty.com/commission/district8.htm,dwebb1@waynecounty.com,,
MI,Wayne County Council District 9,Commissioner District 9,Terry Marecki,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0946,http://www.waynecounty.com/commission/district9.htm,tmarecki@waynecounty.comTerry Marecki,,
MI,Wayne County Council District 10,Commissioner District 10,Joe Barone,"500 Griswold St. 7th Floor, Detroit, MI 48226",313-224-0882,http://www.waynecounty.com/commission/district10.htm,jbarone@waynecounty.comJoe Barone,,
MI,Wayne County Council District 11,Commissioner District 11,Al Haidous,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0944,http://www.waynecounty.com/commission/district11.htm,"ahaidous@waynecounty.comAbdul ""Al"" Haidous",,
MI,Wayne County Council District 12,Commissioner District 12,Glenn Anderson,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-8855,http://www.waynecounty.com/commission/district12.htm,district12@waynecounty.com,,
MI,Wayne County Council District 13,Commissioner District 13,Gary Woronchak,"500 Griswold St. 7th Floor, Detroit, MI 48226",,http://www.waynecounty.com/commission/district13.htm,gworonch@waynecounty.comWayne County Commissioner,,
MI,Wayne County Council District 14,Commissioner District 14,Raymond Basham,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0876,http://www.waynecounty.com/commission/district14.htm,rbasham@waynecounty.com,,
MI,Wayne County Council District 15,Commissioner District 15,Joseph Palamara,"500 Griswold St. 7th Floor, Detroit, MI 48226",(313) 224-0880,http://www.waynecounty.com/commission/district15.htm,jpalamar@waynecounty.com,,
